[200~w	PL(all)
3.518026711	0.0001317377
3.529711185	0.0001263394
3.541395659	0.0001218266
3.553080134	0.0001180461
3.564764608	0.0001148821
3.576449082	0.0001122446
3.588133556	0.0001100637
3.59981803	0.0001082862
3.611502504	0.0001068707
3.623186978	0.0001057847
3.634871452	0.0001050057
3.646555927	0.0001045157
3.658240401	0.0001043039
3.669924875	0.0001043633
3.681609349	0.0001046922
3.693293823	0.0001052917
3.704978297	0.0001061691
3.716662771	0.0001073335
3.728347245	0.0001087992
3.74003172	0.0001105857
3.751716194	0.0001127155
3.763400668	0.0001152183
3.775085142	0.0001181290
3.786769616	0.0001214898
3.79845409	0.0001253521
3.810138564	0.0001297768
3.821823038	0.0001348373
3.833507513	0.0001406213
3.845191987	0.0001472359
3.856876461	0.0001548088
3.868560935	0.0001634983
3.880245409	0.0001734956
3.891929883	0.0001850387
3.903614357	0.0001984235
3.915298831	0.0002140214
3.926983306	0.0002323009
3.93866778	0.0002538632
3.950352254	0.0002794834
3.962036728	0.0003101745
3.973721202	0.0003472776
3.985405676	0.0003925859
3.99709015	0.0004485270
4.008774624	0.0005184262
4.020459098	0.0006068885
4.032143573	0.0007202970
4.043828047	0.0008674815
4.055512521	0.0010603329
4.067196995	0.0013137376
4.078881469	0.0016428897
4.090565943	0.0020534401
4.102250417	0.0025181115
4.113934891	0.0029452164
4.125619366	0.0031842613
4.13730384	0.0031225829
4.148988314	0.0027937412
4.160672788	0.0023432952
4.172357262	0.0019041491
4.184041736	0.0015387926
4.19572621	0.0012577354
4.207410684	0.0010501769
4.219095159	0.0009005913
4.230779633	0.0007934871
4.242464107	0.0007129951
4.254148581	0.0006433925
4.265833055	0.0005746561
4.277517529	0.0005067982
4.289202003	0.0004450283
4.300886477	0.0003929465
4.312570952	0.0003510671
4.324255426	0.0003182813
4.3359399	0.0002931400
4.347624374	0.0002744121
4.359308848	0.0002612318
4.370993322	0.0002531127
4.382677796	0.0002499302
4.39436227	0.0002519333
4.406046745	0.0002597832
4.417731219	0.0002746247
4.429415693	0.0002981461
4.441100167	0.0003324920
4.452784641	0.0003796399
4.464469115	0.0004394042
4.476153589	0.0005051026
4.487838063	0.0005588952
4.499522538	0.0005766006
4.511207012	0.0005479011
4.522891486	0.0004878854
4.53457596	0.0004208290
4.546260434	0.0003622985
4.557944908	0.0003173855
4.569629382	0.0002858426
4.581313856	0.0002659614
4.592998331	0.0002562448
4.604682805	0.0002559316
4.616367279	0.0002650984
4.628051753	0.0002845639
4.639736227	0.0003155106
4.651420701	0.0003582950
